Conflict.Name,Type.of.violence,Year,Long,Lat,Side.A,Side.B,Deaths.A,Deaths.B
Afghanistan:Government,1,1998,64.78476,35.91732,Government of Afghanistan,UIFSA,0,2
Afghanistan:Government,1,1998,63.75,35.0,Government of Afghanistan,UIFSA,0,0
Afghanistan:Government,1,1998,64.839672,36.072913,Government of Afghanistan,UIFSA,4,10
Afghanistan:Government,1,1998,64.535454,35.836769,Government of Afghanistan,UIFSA,1,0
Afghanistan:Government,1,1998,69.342607,36.607485,Government of Afghanistan,UIFSA,0,1
Afghanistan:Government,1,1998,64.839672,36.072913,Government of Afghanistan,UIFSA,1,0
Afghanistan:Government,1,1998,69.67923,34.797169,Government of Afghanistan,UIFSA,11,0
Afghanistan:Government,1,1998,64.535454,35.836769,Government of Afghanistan,UIFSA,1,0
Afghanistan:Government,1,1998,64.289452,35.687069,Government of Afghanistan,UIFSA,1,0
Afghanistan:Government,1,1998,64.78476,35.91732,Government of Afghanistan,UIFSA,3,0
Afghanistan:Government,1,1998,64.78476,35.91732,Government of Afghanistan,UIFSA,2,0
Afghanistan:Government,1,1998,69.2983,36.724,Government of Afghanistan,UIFSA,20,0
Afghanistan:Government,1,1998,65.752904,36.667567,Government of Afghanistan,UIFSA,3,0
Afghanistan:Government,1,1998,64.83333,36.25,Government of Afghanistan,UIFSA,1,0
Afghanistan:Government,1,1998,69.793,37.1257,Government of Afghanistan,UIFSA,0,0
Afghanistan:Government,1,1998,69.342607,36.607485,Government of Afghanistan,UIFSA,0,0
Afghanistan:Government,1,1998,69.162796,34.531094,Government of Afghanistan,UIFSA,4,1
Afghanistan:Government,1,1998,65.83333,36.83333,Government of Afghanistan,UIFSA,43,0
Afghanistan:Government,1,1998,69.215357,34.80264,Government of Afghanistan,UIFSA,0,2
Afghanistan:Government,1,1998,69.2097,34.818,Government of Afghanistan,UIFSA,0,2
Afghanistan:Government,1,1998,69.193298,34.81419,Government of Afghanistan,UIFSA,0,1
Afghanistan:Government,1,1998,69.206425,34.84895,Government of Afghanistan,UIFSA,0,1
Afghanistan:Government,1,1998,69.1234,34.7307,Government of Afghanistan,UIFSA,0,1
Afghanistan:Government,1,1998,69.215357,34.80264,Government of Afghanistan,UIFSA,0,1
Afghanistan:Government,1,1998,67.750038,34.781773,Government of Afghanistan,UIFSA,0,0
Afghanistan:Government,1,1998,69.2098,34.865,Government of Afghanistan,UIFSA,0,1
Afghanistan:Government,1,1998,69.198133,34.84288,Government of Afghanistan,UIFSA,0,1
Afghanistan:Government,1,1998,68.0,34.25,Government of Afghanistan,UIFSA,0,0
Afghanistan:Government,1,1998,64.83333,36.25,Government of Afghanistan,UIFSA,0,0
Afghanistan:Government,1,1998,64.83333,36.25,Government of Afghanistan,UIFSA,0,0
Afghanistan:Government,1,1998,68.715122,35.944583,Government of Afghanistan,UIFSA,0,14
Afghanistan:Government,1,1998,67.82502,34.821781,Government of Afghanistan,UIFSA,0,0
Afghanistan:Government,1,1998,68.016388,36.265488,Government of Afghanistan,UIFSA,0,17
Afghanistan:Government,1,1998,69.810092,36.681384,Government of Afghanistan,UIFSA,3,0
Afghanistan:Government,1,1998,68.016388,36.265488,Government of Afghanistan,UIFSA,0,0
Afghanistan:Government,1,1998,69.4229,37.0647,Government of Afghanistan,UIFSA,0,0
Afghanistan:Government,1,1998,68.972868,35.470933,Government of Afghanistan,UIFSA,0,3
Afghanistan:Government,1,1998,68.401307,35.629843,Government of Afghanistan,UIFSA,0,0
Afghanistan:Government,1,1998,70.30773,36.634552,Government of Afghanistan,UIFSA,11,0
Afghanistan:Government,1,1998,69.647499,34.854229,Government of Afghanistan,UIFSA,10,0
Afghanistan:Government,1,1998,69.645754,35.050219,Government of Afghanistan,UIFSA,50,0
Afghanistan:Government,1,1998,68.643402,34.473251,Government of Afghanistan,UIFSA,0,4
Afghanistan:Government,1,1998,67.750038,34.781773,Government of Afghanistan,UIFSA,24,0
Afghanistan:Government,1,1998,69.162796,34.531094,Government of Afghanistan,UIFSA,0,0
Afghanistan:Government,1,1998,69.333207,34.927936,Government of Afghanistan,UIFSA,0,2
Afghanistan:Government,1,1998,68.0,34.25,Government of Afghanistan,UIFSA,0,0
Afghanistan:Government,1,1998,68.884198,34.971132,Government of Afghanistan,UIFSA,0,0
Afghanistan:Government,1,1998,69.37296,35.634858,Government of Afghanistan,UIFSA,0,0
Afghanistan:Government,1,1998,67.82502,34.821781,Government of Afghanistan,UIFSA,0,0
Afghanistan:Government,1,1998,67.82502,34.821781,Government of Afghanistan,UIFSA,0,0
Afghanistan:Government,1,1998,67.750038,34.781773,Government of Afghanistan,UIFSA,0,0
Afghanistan:Government,1,1998,67.611,35.119,Government of Afghanistan,UIFSA,0,0
Afghanistan:Government,1,1998,68.657758,33.472932,Government of Afghanistan,UIFSA,0,0
Afghanistan:Government,1,1998,68.75,36.75,Government of Afghanistan,UIFSA,15,0
Afghanistan:Government,1,1998,67.996501,33.220631,Government of Afghanistan,UIFSA,0,0
Afghanistan:Government,1,1998,68.787686,35.010389,Government of Afghanistan,UIFSA,14,0
Afghanistan:Government,1,1998,67.82502,34.821781,Government of Afghanistan,UIFSA,0,0
Afghanistan:Government,1,1998,68.860328,34.99544,Government of Afghanistan,UIFSA,6,0
Afghanistan:Government,1,1998,67.91045,34.34697,Government of Afghanistan,UIFSA,0,0
Afghanistan:Government,1,1998,68.304142,34.216719,Government of Afghanistan,UIFSA,0,0
Afghanistan:Government,1,1998,66.384169,35.856469,Government of Afghanistan,UIFSA,0,0
Afghanistan:Government,1,1998,68.417613,34.946981,Government of Afghanistan,UIFSA,0,6
Afghanistan:Government,1,1998,68.860328,34.99544,Government of Afghanistan,UIFSA,0,5
Afghanistan:Government,1,1998,68.0,34.25,Government of Afghanistan,UIFSA,0,0
Afghanistan:Government,1,1998,68.482285,34.429386,Government of Afghanistan,UIFSA,0,0
Afghanistan:Government,1,1998,69.162796,34.531094,Government of Afghanistan,UIFSA,0,0
Afghanistan:Government,1,1998,69.162796,34.531094,Government of Afghanistan,UIFSA,0,0
Afghanistan:Government,1,1998,69.162796,34.531094,Government of Afghanistan,UIFSA,0,0
Afghanistan:Government,1,1998,69.533559,36.734133,Government of Afghanistan,UIFSA,0,0
Afghanistan:Government,1,1998,69.416667,34.5,Government of Afghanistan,UIFSA,1,0
Afghanistan:Government,1,1998,69.863104,36.572712,Government of Afghanistan,UIFSA,8,0
Afghanistan:Government,1,1998,69.533559,36.734133,Government of Afghanistan,UIFSA,0,10
Afghanistan:Government,1,1998,69.533559,36.734133,Government of Afghanistan,UIFSA,0,0
Afghanistan:Government,1,1998,69.4229,37.0647,Government of Afghanistan,UIFSA,0,0
Afghanistan:Government,1,1998,69.162796,34.531094,Government of Afghanistan,UIFSA,0,0
Afghanistan:Government,1,1998,69.162796,34.531094,Government of Afghanistan,UIFSA,0,0
Afghanistan:Government,1,1998,69.58333,35.0,Government of Afghanistan,UIFSA,0,0
Afghanistan:Government,1,1998,69.75,36.66667,Government of Afghanistan,UIFSA,0,0
Afghanistan:Government,1,1998,68.75,36.75,Government of Afghanistan,UIFSA,0,0
Afghanistan:Government,1,1998,66.166667,35.833333,Government of Afghanistan,UIFSA,0,0
Afghanistan:Government,1,1998,69.0,35.75,Government of Afghanistan,UIFSA,0,0
Afghanistan:Government,1,1998,69.75,36.66667,Government of Afghanistan,UIFSA,0,0
Afghanistan:Government,1,1998,68.860328,34.99544,Government of Afghanistan,UIFSA,0,0
Afghanistan:Government,1,1998,69.75,36.66667,Government of Afghanistan,UIFSA,3,0
Afghanistan:Government,1,1998,69.342607,36.607485,Government of Afghanistan,UIFSA,27,0
Afghanistan:Government,1,1998,69.533559,36.734133,Government of Afghanistan,UIFSA,3,0
Afghanistan:Government,1,1998,69.2983,36.724,Government of Afghanistan,UIFSA,0,0
Afghanistan:Government,1,1998,69.128522,35.985724,Government of Afghanistan,UIFSA,0,0
Afghanistan:Government,1,1998,69.428772,36.758205,Government of Afghanistan,UIFSA,0,0
Afghanistan:Government,1,1998,69.4229,37.0647,Government of Afghanistan,UIFSA,0,0
Afghanistan:Government,1,1998,69.533559,36.734133,Government of Afghanistan,UIFSA,0,0
Afghanistan:Government,1,1998,69.645754,35.050219,Government of Afghanistan,UIFSA,0,0
Afghanistan:Government,1,1998,69.163284,36.972465,Government of Afghanistan,UIFSA,0,0
Afghanistan:Government,1,1998,65.318417,35.718621,Government of Afghanistan,UIFSA,14,0
Afghanistan:Government,1,1998,64.83333,36.25,Government of Afghanistan,UIFSA,13,0
Afghanistan:Government,1,1998,69.128522,35.985724,Government of Afghanistan,UIFSA,0,0
Afghanistan:Government,1,1998,68.972868,35.470933,Government of Afghanistan,UIFSA,30,0
Afghanistan:Government,1,1998,69.038889,35.315833,Government of Afghanistan,UIFSA,30,0
Afghanistan:Government,1,1998,66.4214,35.9427,Government of Afghanistan,UIFSA,40,0
Afghanistan:Government,1,1998,64.83333,36.25,Government of Afghanistan,UIFSA,2,0
Afghanistan:Government,1,1998,68.75,36.75,Government of Afghanistan,UIFSA,1,1
Afghanistan:Government,1,1998,68.972868,35.470933,Government of Afghanistan,UIFSA,15,0
Afghanistan:Government,1,1998,69.217222,34.564444,Government of Afghanistan,UIFSA,11,0
Afghanistan:Government,1,1998,65.0,34.0,Government of Afghanistan,UIFSA,12,0
Afghanistan:Government,1,1998,68.705399,36.125942,Government of Afghanistan,UIFSA,20,0
Afghanistan:Government,1,1998,68.749647,37.0733,Government of Afghanistan,UIFSA,7,0
Afghanistan:Government,1,1998,68.75,36.75,Government of Afghanistan,UIFSA,0,0
Afghanistan:Government,1,1998,65.83333,36.83333,Government of Afghanistan,UIFSA,0,0
Afghanistan:Government,1,1998,69.533559,36.734133,Government of Afghanistan,UIFSA,0,0
Afghanistan:Government,1,1998,67.0,36.75,Government of Afghanistan,UIFSA,0,0
Afghanistan:Government,1,1998,67.666667,36.0,Government of Afghanistan,UIFSA,0,0
Afghanistan:Government,1,1998,69.0,35.75,Government of Afghanistan,UIFSA,0,0
Afghanistan:Government,1,1998,64.83333,36.25,Government of Afghanistan,UIFSA,0,0
Afghanistan:Government,1,1998,69.533559,36.734133,Government of Afghanistan,UIFSA,0,0
Afghanistan:Government,1,1998,69.1649,36.7747,Government of Afghanistan,UIFSA,16,0
Afghanistan:Government,1,1998,68.75,36.75,Government of Afghanistan,UIFSA,22,0
Afghanistan:Government,1,1998,69.217222,34.564444,Government of Afghanistan,UIFSA,0,0
Afghanistan:Government,1,1998,67.0,36.75,Government of Afghanistan,UIFSA,12,0
Afghanistan:Government,1,1998,68.120033,36.223248,Government of Afghanistan,UIFSA,3,0
Afghanistan:Government,1,2004,65.465693,32.584696,Government of Afghanistan,Taleban,0,0
Afghanistan:Government,1,2004,65.038714,32.48418,Government of Afghanistan,Taleban,0,1
Afghanistan:Government,1,2004,65.457451,32.622501,Government of Afghanistan,Taleban,0,0
Afghanistan:Government,1,2004,69.918411,33.335091,Government of Afghanistan,Taleban,3,0
Afghanistan:Government,1,2004,67.394208,32.495924,Government of Afghanistan,Taleban,5,0
Afghanistan:Government,1,2004,65.488876,32.969425,Government of Afghanistan,Taleban,0,0
Afghanistan:Government,1,2004,67.108074,31.928521,Government of Afghanistan,Taleban,4,0
Afghanistan:Government,1,2004,65.75,31.0,Government of Afghanistan,Taleban,1,0
Afghanistan:Government,1,2004,66.2608,32.92962,Government of Afghanistan,Taleban,0,0
Afghanistan:Government,1,2004,64.47606,32.468709,Government of Afghanistan,Taleban,0,4
Afghanistan:Government,1,2004,65.474153,32.920909,Government of Afghanistan,Taleban,0,0
Afghanistan:Government,1,2004,64.0,31.0,Government of Afghanistan,Taleban,0,4
Afghanistan:Government,1,2004,65.474153,32.920909,Government of Afghanistan,Taleban,2,0
Afghanistan:Government,1,2004,65.705795,31.611795,Government of Afghanistan,Taleban,0,0
Afghanistan:Government,1,2004,66.051232,30.179475,Government of Afghanistan,Taleban,5,0
Afghanistan:Government,1,2004,62.940045,31.749897,Government of Afghanistan,Taleban,4,0
Afghanistan:Government,1,2004,67.424297,32.527087,Government of Afghanistan,Taleban,0,1
Afghanistan:Government,1,2004,67.3747,32.4779,Government of Afghanistan,Taleban,0,3
Afghanistan:Government,1,2004,65.75,31.0,Government of Afghanistan,Taleban,2,3
Afghanistan:Government,1,2004,65.5743,32.9382,Government of Afghanistan,Taleban,5,0
Afghanistan:Government,1,2004,69.883334,33.383334,Government of Afghanistan,Taleban,1,1
Afghanistan:Government,1,2004,70.190835,33.383675,Government of Afghanistan,Taleban,1,0
Afghanistan:Government,1,2004,65.59305,33.352482,Government of Afghanistan,Taleban,0,0
Afghanistan:Government,1,2004,68.666712,33.678715,Government of Afghanistan,Taleban,0,0
Afghanistan:Government,1,2004,67.75,33.33333,Government of Afghanistan,Taleban,0,0
Afghanistan:Government,1,2004,67.253177,31.447533,Government of Afghanistan,Taleban,7,0
Afghanistan:Government,1,2004,69.192429,32.97518,Government of Afghanistan,Taleban,0,0
Afghanistan:Government,1,2004,65.75,31.0,Government of Afghanistan,Taleban,0,12
Afghanistan:Government,1,2004,66.051232,30.179475,Government of Afghanistan,Taleban,1,3
Afghanistan:Government,1,2004,70.183333,34.783333,Government of Afghanistan,Taleban,0,0
Afghanistan:Government,1,2004,66.905121,32.10368,Government of Afghanistan,Taleban,0,3
Afghanistan:Government,1,2004,64.817112,31.830848,Government of Afghanistan,Taleban,0,0
Afghanistan:Government,1,2004,67.25,32.25,Government of Afghanistan,Taleban,2,0
Afghanistan:Government,1,2004,68.051427,31.689623,Government of Afghanistan,Taleban,0,0
Afghanistan:Government,1,2004,65.457451,32.622501,Government of Afghanistan,Taleban,0,0
Afghanistan:Government,1,2004,65.465693,32.584696,Government of Afghanistan,Taleban,2,0
Afghanistan:Government,1,2004,64.994325,32.120374,Government of Afghanistan,Taleban,3,3
Afghanistan:Government,1,2004,62.5,31.0,Government of Afghanistan,Taleban,8,0
Afghanistan:Government,1,2004,67.157333,32.665379,Government of Afghanistan,Taleban,0,1
Afghanistan:Government,1,2004,65.873313,32.62675,Government of Afghanistan,Taleban,3,0
Afghanistan:Government,1,2004,69.883334,33.383334,Government of Afghanistan,Taleban,3,0
Afghanistan:Government,1,2004,69.918411,33.335091,Government of Afghanistan,Taleban,0,2
Afghanistan:Government,1,2004,69.491204,33.15664,Government of Afghanistan,Taleban,2,0
Afghanistan:Government,1,2004,65.6653,31.61449,Government of Afghanistan,Taleban,1,0
Afghanistan:Government,1,2004,66.905121,32.10368,Government of Afghanistan,Taleban,2,0
Afghanistan:Government,1,2004,66.690348,32.997793,Government of Afghanistan,Taleban,1,0
Afghanistan:Government,1,2004,65.174945,31.12796,Government of Afghanistan,Taleban,5,0
Afghanistan:Government,1,2004,64.0,31.0,Government of Afghanistan,Taleban,2,0
Afghanistan:Government,1,2004,66.045385,32.112391,Government of Afghanistan,Taleban,5,0
Afghanistan:Government,1,2004,64.772322,32.350174,Government of Afghanistan,Taleban,7,4
Afghanistan:Government,1,2004,65.873313,32.62675,Government of Afghanistan,Taleban,1,2
Afghanistan:Government,1,2004,66.3223,31.8012,Government of Afghanistan,Taleban,0,0
Afghanistan:Government,1,2004,66.045385,32.112391,Government of Afghanistan,Taleban,0,5
Afghanistan:Government,1,2004,66.5131,32.174,Government of Afghanistan,Taleban,2,2
Afghanistan:Government,1,2004,66.045385,32.112391,Government of Afghanistan,Taleban,2,1
Afghanistan:Government,1,2004,67.4925,32.6018,Government of Afghanistan,Taleban,1,0
Afghanistan:Government,1,2004,64.0,31.0,Government of Afghanistan,Taleban,0,3
Afghanistan:Government,1,2004,64.680084,31.788546,Government of Afghanistan,Taleban,0,3
Afghanistan:Government,1,2004,66.4002,31.00568,Government of Afghanistan,Taleban,0,8
Afghanistan:Government,1,2004,67.03305,31.841067,Government of Afghanistan,Taleban,4,0
Afghanistan:Government,1,2004,67.151789,31.918721,Government of Afghanistan,Taleban,0,6
Afghanistan:Government,1,2004,67.4156,32.5216,Government of Afghanistan,Taleban,3,3
Afghanistan:Government,1,2004,66.335951,32.378207,Government of Afghanistan,Taleban,0,17
Afghanistan:Government,1,2004,66.726,32.635,Government of Afghanistan,Taleban,0,0
Afghanistan:Government,1,2004,65.873313,32.62675,Government of Afghanistan,Taleban,0,2
Afghanistan:Government,1,2004,66.688212,32.612577,Government of Afghanistan,Taleban,0,21
Afghanistan:Government,1,2004,64.0,31.0,Government of Afghanistan,Taleban,2,2
Afghanistan:Government,1,2004,63.715688,34.008219,Government of Afghanistan,Taleban,0,0
Afghanistan:Government,1,2004,67.25,32.25,Government of Afghanistan,Taleban,0,0
Afghanistan:Government,1,2004,66.508063,32.178461,Government of Afghanistan,Taleban,2,5
Afghanistan:Government,1,2004,69.27614,32.713324,Government of Afghanistan,Taleban,0,0
Afghanistan:Government,1,2004,66.4002,31.00568,Government of Afghanistan,Taleban,5,0
Afghanistan:Government,1,2004,71.540722,35.266478,Government of Afghanistan,Taleban,2,0
Afghanistan:Government,1,2004,67.25,32.25,Government of Afghanistan,Taleban,0,5
Afghanistan:Government,1,2004,65.638,31.6416,Government of Afghanistan,Taleban,0,0
Afghanistan:Government,1,2004,65.705795,31.611795,Government of Afghanistan,Taleban,0,0
Afghanistan:Government,1,2004,66.987372,32.511956,Government of Afghanistan,Taleban,0,4
Afghanistan:Government,1,2004,70.41667,34.33333,Government of Afghanistan,Taleban,0,0
Afghanistan:Government,1,2004,64.608526,31.829363,Government of Afghanistan,Taleban,1,0
Afghanistan:Government,1,2004,66.4002,31.00568,Government of Afghanistan,Taleban,0,2
Afghanistan:Government,1,2004,67.75,33.33333,Government of Afghanistan,Taleban,2,0
Afghanistan:Government,1,2004,69.33333,33.666667,Government of Afghanistan,Taleban,0,0
Afghanistan:Government,1,2004,65.465693,32.584696,Government of Afghanistan,Taleban,1,10
Afghanistan:Government,1,2004,67.597553,33.709667,Government of Afghanistan,Taleban,0,0
Afghanistan:Government,1,2004,68.051427,31.689623,Government of Afghanistan,Taleban,0,1
Afghanistan:Government,1,2004,64.513,32.2223,Government of Afghanistan,Taleban,0,3
Afghanistan:Government,1,2004,65.04411,33.016315,Government of Afghanistan,Taleban,0,0
Afghanistan:Government,1,2004,65.053246,32.280746,Government of Afghanistan,Taleban,0,1
Afghanistan:Government,1,2004,71.437913,35.000833,Government of Afghanistan,Taleban,4,1
Afghanistan:Government,1,2004,62.374238,32.577855,Government of Afghanistan,Taleban,0,1
Afghanistan:Government,1,2004,67.25,32.25,Government of Afghanistan,Taleban,0,1
Afghanistan:Government,1,2004,63.879346,30.15106,Government of Afghanistan,Taleban,2,0
Afghanistan:Government,1,2004,66.508063,32.178461,Government of Afghanistan,Taleban,0,0
Afghanistan:Government,1,2004,69.958707,33.214845,Government of Afghanistan,Taleban,2,2
Afghanistan:Government,1,2004,68.946121,33.968151,Government of Afghanistan,Taleban,0,0
Afghanistan:Government,1,2004,67.633333,32.716667,Government of Afghanistan,Taleban,2,0
Afghanistan:Government,1,2004,65.873313,32.62675,Government of Afghanistan,Taleban,0,6
Afghanistan:Government,1,2004,70.084213,34.825481,Government of Afghanistan,Taleban,0,1
Afghanistan:Government,1,2004,64.765051,35.821369,Government of Afghanistan,Taleban,0,0
Afghanistan:Government,1,2004,64.8964,31.6782,Government of Afghanistan,Taleban,6,0
Afghanistan:Government,1,2004,67.253177,31.447533,Government of Afghanistan,Taleban,0,6
Afghanistan:Government,1,2004,66.552678,31.519681,Government of Afghanistan,Taleban,0,0
Afghanistan:Government,1,2004,67.673602,32.499925,Government of Afghanistan,Taleban,1,3
Afghanistan:Government,1,2004,66.335951,32.378207,Government of Afghanistan,Taleban,3,2
Afghanistan:Government,1,2004,67.181449,32.860043,Government of Afghanistan,Taleban,2,0
Afghanistan:Government,1,2004,67.3629,32.259197,Government of Afghanistan,Taleban,0,1
Afghanistan:Government,1,2004,69.162796,34.531094,Government of Afghanistan,Taleban,0,0
Afghanistan:Government,1,2004,70.888695,34.974796,Government of Afghanistan,Taleban,0,0
Afghanistan:Government,1,2004,66.051232,30.179475,Government of Afghanistan,Taleban,0,0
Afghanistan:Government,1,2004,66.076782,31.655219,Government of Afghanistan,Taleban,1,0
Afghanistan:Government,1,2004,64.131675,30.852922,Government of Afghanistan,Taleban,0,4
Afghanistan:Government,1,2004,69.958707,33.214845,Government of Afghanistan,Taleban,0,3
Afghanistan:Government,1,2004,66.530991,31.864296,Government of Afghanistan,Taleban,0,2
Afghanistan:Government,1,2004,67.6331,32.2123,Government of Afghanistan,Taleban,1,4
Afghanistan:Government,1,2004,65.63,32.103889,Government of Afghanistan,Taleban,2,0
Afghanistan:Government,1,2004,67.567827,32.217008,Government of Afghanistan,Taleban,1,7
